"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000118922",1439.53407840949,-0.680744909119523,0.122873999485805,-5.5401867927166,3.02149184342413e-08,4.47834169737606e-07
"ENSG00000214688",28.3512548272609,3.99616673125069,0.7218217852913,5.53622350098229,3.09063130262584e-08,4.57708172328355e-07
"ENSG00000173482",1316.27180957027,-0.735063725643454,0.132774248842867,-5.53619193517991,3.0911880801683e-08,4.57708172328355e-07
"ENSG00000115353",186.818506393181,-1.6271912978274,0.293961111134505,-5.53539647318471,3.10525110822971e-08,4.59561715007509e-07
"ENSG00000131398",398.109162619321,0.88123313329326,0.15922420439178,5.5345425443291,3.12041685168562e-08,4.61576529523083e-07
"ENSG00000154479",64.9204436180792,2.1640746422109,0.39107840627531,5.53360811409116,3.13709463157371e-08,4.6381289267109e-07
"ENSG00000167815",9896.27182133979,-0.409676158082246,0.0740513429924926,-5.53232583673438,3.16012162895327e-08,4.66985286122568e-07
"ENSG00000260400",370.849059803145,-0.979558256564867,0.177098393098581,-5.53115270797291,3.18133211607112e-08,4.69886228683057e-07
"ENSG00000155189",9872.33727204572,0.400277229143561,0.0724651352108104,5.52372155215199,3.31893311468817e-08,4.8973107556836e-07
"ENSG00000176978",1610.1707465203,-0.68738107204523,0.124441718046458,-5.52371891706453,3.31898291708681e-08,4.8973107556836e-07
"ENSG00000164300",12870.2032745241,-0.526540510789164,0.0953265479093859,-5.52354535370016,3.32226481179674e-08,4.89972292298055e-07
"ENSG00000168010",1235.34224202327,0.602997742661728,0.109201099172361,5.52190176868061,3.35349967210654e-08,4.94333769802543e-07
"ENSG00000182667",724.405831241607,0.760589182770404,0.137789167288537,5.51994904779193,3.39097973446187e-08,4.99611065681214e-07
"ENSG00000299040",32.9447851998895,-3.55764490232328,0.645110900473291,-5.51478032647283,3.49215870651298e-08,5.14263589320008e-07
"ENSG00000105270",1233.17336620763,0.640676889706808,0.116177543357116,5.51463622997642,3.49502097254474e-08,5.14430424890097e-07
"ENSG00000181588",6392.49671445028,-0.544301667049955,0.0987282145953106,-5.51313187705319,3.52503894669085e-08,5.18592154041606e-07
"ENSG00000215301",23705.7586474786,-0.365430586555475,0.0662990142561265,-5.51185550276423,3.55070377528281e-08,5.22109664870676e-07
"ENSG00000151917",416.540665110342,0.881824056721352,0.160003148854934,5.51129189039182,3.56209426676677e-08,5.23267250140795e-07
"ENSG00000008294",6697.41410604027,0.446840075354185,0.0810764398769116,5.5113430736792,3.56105840160551e-08,5.23267250140795e-07
"ENSG00000123908",11612.9353480113,-0.418421416370925,0.0759407810921295,-5.50983819699335,3.59163694435831e-08,5.27346614925107e-07
"ENSG00000155849",748.60528835325,-0.685542374662337,0.124442731150264,-5.50889849753094,3.6108602908356e-08,5.29907553386712e-07
"ENSG00000186377",219.962275902153,1.37656890159476,0.249957407614772,5.50721386787742,3.64557269716353e-08,5.34737924174179e-07
"ENSG00000198720",2559.80947713559,0.51963627565026,0.0944146006276268,5.50377030878642,3.7175382708804e-08,5.45025189472051e-07
"ENSG00000077150",2289.9917769625,0.529807495523234,0.0962794530370006,5.50280956955194,3.73786096473316e-08,5.47734729644913e-07
"ENSG00000143147",2533.91988676566,-0.488592017339005,0.0888226221534548,-5.5007610166573,3.78155481833741e-08,5.5359208258407e-07
"ENSG00000114770",6201.61458930313,0.41734978012577,0.0758708966305713,5.50078882233223,3.7809584448255e-08,5.5359208258407e-07
"ENSG00000101361",19282.8628881885,0.370076467015065,0.0672845578565937,5.50016941188532,3.79426514199013e-08,5.55179563102708e-07
"ENSG00000177133",17.7013310348283,-7.63040925232648,1.38739388461618,-5.49981467911502,3.80190625108176e-08,5.56024116277921e-07
"ENSG00000140526",3982.58268872561,0.553145998610102,0.100589380440599,5.49904966296865,3.81843588332047e-08,5.58167136221788e-07
"ENSG00000165288",6335.38997860671,-0.455573869603839,0.0828481668689354,-5.49890102365873,3.82165559513977e-08,5.5836340367693e-07
"ENSG00000130368",27.5487886420384,-4.76813335063404,0.867358797376092,-5.4973021142559,3.85645686398376e-08,5.63098499140353e-07
"ENSG00000166130",995.298665500686,0.603600976452163,0.109800764362816,5.49723838403963,3.85785034204471e-08,5.63098499140353e-07
"ENSG00000100307",960.236303267236,0.698528282614499,0.127132069761736,5.4945088514931,3.91799276180725e-08,5.71596521262777e-07
"ENSG00000160360",1214.98880268723,0.678009478913126,0.123459140960147,5.49177220609359,3.979204252254e-08,5.79977061711772e-07
"ENSG00000108604",8399.52756721612,-0.407097020954875,0.0741286128003154,-5.49176634468388,3.97933634636678e-08,5.79977061711772e-07
"ENSG00000164488",644.006430317762,-0.79325779989174,0.14445492190279,-5.49138644390087,3.98790695510831e-08,5.80455901745109e-07
"ENSG00000294494",109.437607023102,-1.63075605014889,0.296960012347277,-5.49150047933665,3.98533242323125e-08,5.80455901745109e-07
"ENSG00000129951",8309.17108009554,-0.514285200028228,0.0936534996459985,-5.49136126222915,3.98847568886612e-08,5.80455901745109e-07
"ENSG00000179630",562.188474746655,0.793386044614871,0.144528743512043,5.48946891348821,4.03144059297953e-08,5.86421825522553e-07
"ENSG00000143420",12812.6840125772,-0.367230168193253,0.0669048855533769,-5.4888393449276,4.04583389306801e-08,5.88227863231153e-07
"ENSG00000186642",487.412461100596,0.941332222300503,0.171504061930287,5.48868762468807,4.04930999016215e-08,5.88445648643642e-07
"ENSG00000159388",1117.07546707479,1.65725205687352,0.301985786071535,5.48784788328065,4.06860193213523e-08,5.90960457398569e-07
"ENSG00000147162",18672.0571921949,0.398621038730529,0.0726796130204422,5.48463347786967,4.14327547976099e-08,6.01513009743534e-07
"ENSG00000149499",2814.77510046418,-0.50698900149103,0.0924486352734292,-5.4840074165675,4.15797327496475e-08,6.0305817167419e-07
"ENSG00000092445",9386.86996931813,0.489072046550745,0.0891812916171114,5.48402066938562,4.15766162065322e-08,6.0305817167419e-07
"ENSG00000228065",16.9837926304326,-7.57306417269207,1.38133257866751,-5.48243362217475,4.1951442521334e-08,6.07935135895905e-07
"ENSG00000260734",45.8178722447647,-2.52119019202881,0.459868896854703,-5.48241076809635,4.19568640197093e-08,6.07935135895905e-07
"ENSG00000117069",645.023753918025,0.71031930681735,0.129568952711872,5.48217217126789,4.2013505105103e-08,6.08459462688169e-07
"ENSG00000173588",2174.49111657294,0.544134136468595,0.0992792995313119,5.48084181735166,4.23306828008563e-08,6.12754657555752e-07
"ENSG00000111199",373.925506403032,1.18594350685442,0.216392751167355,5.48051402118008,4.24091904526448e-08,6.13592504083086e-07
"ENSG00000288903",24.3474180615868,-4.34908373459792,0.793632655973223,-5.47997074196082,4.25396175833905e-08,6.15180361814836e-07
"ENSG00000050327",1719.84451284282,-0.693287394047512,0.126521864667263,-5.47958565004375,4.26323035334378e-08,6.16221153162865e-07
"ENSG00000086666",10083.265032855,-0.414049807181732,0.0756036573560276,-5.47658435665244,4.33614109335595e-08,6.26455508033315e-07
"ENSG00000133636",2176.48357064394,0.611351025944958,0.111679057916762,5.4741778570573,4.39547438108682e-08,6.34719302981503e-07
"ENSG00000112576",2590.23687580639,-0.499604748915853,0.0912743839766633,-5.47365785611427,4.40839826044791e-08,6.3627667663049e-07
"ENSG00000233593",101.957038642875,-1.66110753400714,0.303508330674191,-5.47302121927684,4.42427112680383e-08,6.38257969005982e-07
"ENSG00000207955",25.5651969920105,-7.19282600686751,1.31432119102027,-5.47265467224485,4.43343513376871e-08,6.39269970548802e-07
"ENSG00000281406",2503.48033272933,-0.47948657096896,0.0876192482579811,-5.47238855048364,4.44009994584248e-08,6.39920799849692e-07
"ENSG00000140931",1927.19163988776,-0.529271169487451,0.0967445465860054,-5.47081141175158,4.4797979728953e-08,6.45329541402986e-07
"ENSG00000164916",2112.94436060213,-0.594000325577373,0.108582442722088,-5.470500669226,4.48766012323647e-08,6.46149204675291e-07
"ENSG00000270170",2834.71950343535,-0.510207110233189,0.0932917473705151,-5.46894151533966,4.52731092624442e-08,6.51227843921628e-07
"ENSG00000167562",481.372670497657,-0.824986971075961,0.150847373955898,-5.46901778560065,4.52536342330352e-08,6.51227843921628e-07
"ENSG00000204217",3851.80272090879,-0.601214878141135,0.10994739538503,-5.4682048268239,4.54616357962752e-08,6.53623624954954e-07
"ENSG00000188816",145.676898608833,1.89827084359615,0.34718438419845,5.46761585483956,4.5612907335225e-08,6.55481717150212e-07
"ENSG00000169021",9679.96566246708,-0.462739941256833,0.0846367087466415,-5.46736691572018,4.56769914569324e-08,6.5608569042461e-07
"ENSG00000173660",19369.980954893,-0.469444734601156,0.0858731103891102,-5.46672564291659,4.58424758927871e-08,6.5814485057082e-07
